zcta,state_abbr,final_rank,investment_category_sf,composite_score,projected_delta_2023_2030,target_proxy_2023,target_proxy_2030_projection,median_hh_income_2019,pop_25_44_2019,hh_over_100k_2019
27527,NC,161,Invest,0.4216399643170132,1378.4712966981458,1935.75756227758,3314.228858975726,90625,7438,3358
90065,CA,162,Invest,0.4215154363538286,1436.198251802978,2604.875629506378,4041.073881309356,67479,15419,5487
94117,CA,163,Invest,0.42068883642947685,213.82695153704637,6435.646679973386,6649.473631510433,170211,22678,13000
78132,TX,164,Invest,0.41935618311620315,1252.917749965308,2000.3142411410743,3253.2319911063823,106523,5886,5587
91604,CA,165,Invest,0.4190677778895314,1055.1647150952806,3166.6430039230336,4221.807719018314,111341,11676,8019
77027,TX,166,Invest,0.41899159936414565,1207.40349629075,2687.0249104779696,3894.4284067687195,98463,8526,4687
85016,AZ,167,Invest,0.41768433615191336,1402.2676210330076,3054.0691049190114,4456.336725952019,60085,12436,4638
33178,FL,168,Invest,0.41731688460164723,1349.6446230970093,2495.9999236815997,3845.644546778609,79707,15977,5846
30342,GA,169,Invest,0.4169697411792362,1149.3138080261404,3340.9526854977203,4490.266493523861,91740,10915,6145
89436,NV,170,Invest,0.4161066938172526,1277.3947329649316,2529.3218307376455,3806.7165637025773,89017,11986,6831
37206,TN,171,Invest,0.4156757972546541,1466.106092618326,2570.736652138382,4036.8427447567083,59203,11126,3450
11231,NY,172,Invest,0.4153815048137265,1053.6346213679244,3592.6655500705215,4646.300171438446,99643,13516,7817
84020,UT,173,Invest,0.41494908026047533,1012.8381303756976,3041.9393528579117,4054.777483233609,117266,14156,8066
89113,NV,174,Invest,0.4149130566671681,1396.9280230487395,2412.7689545198723,3809.696977568612,72479,11369,3864
80602,CO,175,Invest,0.4145860617265463,1060.1530265280635,2729.303406965457,3789.4564334935203,116500,10870,7221
30338,GA,176,Invest,0.4144574712341369,1088.1639632344811,3140.2325188258797,4228.3964820603605,103373,11197,7563
79765,TX,177,Invest,0.41369339812080963,1277.9479126401532,1951.8439792746115,3229.7918919147646,99428,6070,2955
30519,GA,178,Invest,0.4136205595426049,1311.7762309113334,2220.9750208159867,3532.75125172732,88493,12767,6363
75214,TX,179,Invest,0.41305043417719345,1176.7955045923065,3100.200137119351,4276.995641711657,89719,12720,7633
90049,CA,180,Invest,0.41225117923890353,797.0428544607879,3894.0911392405064,4691.1339937012945,129688,11339,10033
75009,TX,181,Invest,0.41219539371410213,1185.7361838720335,2003.7247909574644,3189.460974829498,111146,4107,2260
94403,CA,182,Invest,0.411757247658628,765.3563165633915,3858.3784256425597,4623.734742205951,134875,14636,10392
94066,CA,183,Invest,0.4116151311081999,1050.5056056916742,3024.0086763848394,4074.5142820765136,109387,13668,8211
79707,TX,184,Invest,0.41099766940859994,1172.5415416651024,2668.673879792382,3841.215421457485,98015,13010,7104
95023,CA,185,Invest,0.41076191491610003,1247.4473712454778,2675.4872032069075,3922.9345744523853,86337,14617,6838
94043,CA,186,Invest,0.4107075834394711,758.0289581337066,3715.657886523937,4473.686844657644,138232,12641,8409
94089,CA,187,Invest,0.40975823495037167,1058.4723268611313,2448.716076505557,3507.1884033666884,119054,8838,4916
85353,AZ,188,Invest,0.4096064694501398,1496.0937820243062,1610.082720302256,3106.176502326562,70543,14006,2724
91915,CA,189,Invest,0.40957651234377795,1127.351652269745,2123.160463473223,3250.512115742968,115435,10720,5009
27513,NC,190,Invest,0.40893449395704873,1072.2285830647381,3357.5106652052946,4429.7392482700325,96913,13874,8742
80220,CO,191,Invest,0.4086661307225048,1212.5598488778846,3020.599818236898,4233.159667114783,82642,12981,6580
94588,CA,192,Invest,0.40733045781072,768.6439839589154,2808.391482439067,3577.0354663979824,153429,9605,9203
94116,CA,193,Invest,0.4061313310415282,978.0504260722084,3027.643957387767,4005.694383459975,116089,13631,9354
